country,lat,lon
Brazil,-14.235,-51.925
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
El Salvador,13.7942,-88.8965
Ethiopia,9.145,40.4897
Guatemala,15.7835,-90.2308
Honduras,15.2,-86.2419
Indonesia,-0.7893,113.9213
Kenya,-0.0236,37.9062
Laos,19.8563,102.4955
Madagascar,-18.7669,46.8691
Mexico,23.6345,-102.5528
Myanmar,21.9162,95.956
Nicaragua,12.8654,-85.2072
Panama,8.538,-80.7821
Peru,-9.19,-75.0152
Taiwan,23.6978,120.9605
Tanzania,-6.369,34.8888
Thailand,15.87,100.9925
Uganda,1.3733,32.2903
United States (Hawaii),19.8987,-155.6659
Vietnam,14.0583,108.2772
