country,representative_elevation_m,elevation_note
Brazil,1100,Broad coffee belt context value
Colombia,1650,Andean coffee-growing context value
Costa Rica,1400,Central highland context value
El Salvador,1300,Volcanic highland context value
Ethiopia,1850,Highland context value
Guatemala,1500,Volcanic highland context value
Honduras,1450,Mountain coffee context value
Indonesia,1200,Mixed archipelago highland context value
Kenya,1750,East African highland context value
Laos,1250,Plateau context value
Madagascar,1350,Highland context value
Mexico,1300,Southern mountain context value
Myanmar,1300,Shan highland context value
Nicaragua,1350,Mountain coffee context value
Panama,1550,Boquete highland context value
Peru,1600,Andean context value
Taiwan,1050,Mid-elevation specialty context value
Tanzania,1700,Highland context value
Thailand,1100,Northern highland context value
Uganda,1500,Arabica highland context value
United States (Hawaii),700,Island highland context value
Vietnam,900,Central Highlands context value
