region,code,year,production_tonnes
Africa,OWID_AFR,1961,870970.0
Africa,OWID_AFR,1962,883512.0
Africa,OWID_AFR,1963,996674.0
Africa,OWID_AFR,1964,1162048.0
Africa,OWID_AFR,1965,1075084.0
Africa,OWID_AFR,1966,1199529.0
Africa,OWID_AFR,1967,1085561.0
Africa,OWID_AFR,1968,1183868.0
Africa,OWID_AFR,1969,1253504.0
Africa,OWID_AFR,1970,1295001.0
Africa,OWID_AFR,1971,1266294.0
Africa,OWID_AFR,1972,1296274.0
Africa,OWID_AFR,1973,1379422.0
Africa,OWID_AFR,1974,1266734.0
Africa,OWID_AFR,1975,1312580.0
Africa,OWID_AFR,1976,1165512.0
Africa,OWID_AFR,1977,1235352.0
Africa,OWID_AFR,1978,1063658.0
Africa,OWID_AFR,1979,1110744.0
Africa,OWID_AFR,1980,1163648.0
Africa,OWID_AFR,1981,1293046.0
Africa,OWID_AFR,1982,1206872.0
Africa,OWID_AFR,1983,1113475.0
Africa,OWID_AFR,1984,1036465.0
Africa,OWID_AFR,1985,1181857.0
Africa,OWID_AFR,1986,1274895.0
Africa,OWID_AFR,1987,1235947.0
Africa,OWID_AFR,1988,1218793.0
Africa,OWID_AFR,1989,1256511.0
Africa,OWID_AFR,1990,1254209.0
Africa,OWID_AFR,1991,1192323.0
Africa,OWID_AFR,1992,1156200.0
Africa,OWID_AFR,1993,991822.56
Africa,OWID_AFR,1994,1058407.9
Africa,OWID_AFR,1995,1127035.5
Africa,OWID_AFR,1996,1254436.2
Africa,OWID_AFR,1997,1176346.1
Africa,OWID_AFR,1998,1219222.2
Africa,OWID_AFR,1999,1254014.8
Africa,OWID_AFR,2000,1277578.2
Africa,OWID_AFR,2001,1121398.8
Africa,OWID_AFR,2002,1097192.8
Africa,OWID_AFR,2003,811628.4
Africa,OWID_AFR,2004,1064072.8
Africa,OWID_AFR,2005,986411.9
Africa,OWID_AFR,2006,1061882.8
Africa,OWID_AFR,2007,998151.2
Africa,OWID_AFR,2008,1079877.6
Africa,OWID_AFR,2009,1002789.75
Africa,OWID_AFR,2010,1086196.2
Africa,OWID_AFR,2011,1053917.8
Africa,OWID_AFR,2012,1150397.0
Africa,OWID_AFR,2013,1105640.9
Africa,OWID_AFR,2014,1154436.0
Africa,OWID_AFR,2015,1381548.5
Africa,OWID_AFR,2016,1402423.5
Africa,OWID_AFR,2017,1451777.6
Africa,OWID_AFR,2018,1660516.1
Africa,OWID_AFR,2019,1813980.1
Africa,OWID_AFR,2020,1883187.6
Africa,OWID_AFR,2021,1966350.6
Africa,OWID_AFR,2022,2065840.8
Africa,OWID_AFR,2023,1943557.1
Africa,OWID_AFR,2024,1909981.6
Africa (FAO),,1961,870970.0
Africa (FAO),,1962,883512.0
Africa (FAO),,1963,996674.0
Africa (FAO),,1964,1162048.0
Africa (FAO),,1965,1075084.0
Africa (FAO),,1966,1199529.0
Africa (FAO),,1967,1085561.0
Africa (FAO),,1968,1183868.0
Africa (FAO),,1969,1253504.0
Africa (FAO),,1970,1295001.0
Africa (FAO),,1971,1266294.0
Africa (FAO),,1972,1296274.0
Africa (FAO),,1973,1379422.0
Africa (FAO),,1974,1266734.0
Africa (FAO),,1975,1312580.0
Africa (FAO),,1976,1165512.0
Africa (FAO),,1977,1235352.0
Africa (FAO),,1978,1063658.0
Africa (FAO),,1979,1110744.0
Africa (FAO),,1980,1163648.0
Africa (FAO),,1981,1293046.0
Africa (FAO),,1982,1206872.0
Africa (FAO),,1983,1113475.0
