country,iso3,region,latitude,longitude,point_source_type,point_weight,source_note
Brazil,BRA,Americas,-25.85222222222226,-50.00222222222234,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-25.856388888888926,-49.21888888888901,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-19.38138888888893,-48.006388888889006,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-23.718888888888927,-47.18555555555568,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-28.268888888888924,-49.86055555555568,elevation_constrained_sample,0.9794520547945206,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-20.073055555555595,-45.31055555555568,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-23.006388888888928,-46.40638888888901,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-17.452222222222264,-44.30222222222234,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-25.314722222222258,-51.88972222222234,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-26.989722222222255,-50.54805555555568,elevation_constrained_sample,0.2465753424657534,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-16.802222222222266,-47.80222222222234,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
Brazil,BRA,Americas,-12.756388888888935,-42.848055555555675,elevation_constrained_sample,0.15,GMTED2010 clip gmted2010_mn15_BRA.tif; coffee_features altitude p10–p90 → band ~850–1305 m
