year,value,value_unit,metric,source_name,source_url,notes
1970,10.41316471,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1971,9.888127477,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1972,10.30358316,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1973,10.01227182,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1974,9.617402527,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1975,9.19701259,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1976,9.419184993,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1977,6.954877202,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1978,7.929303412,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1979,8.57716025,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1980,7.675402896,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1981,7.470603481,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1982,7.368367013,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1983,7.473012757,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1984,7.603438997,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1985,7.788350541,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1986,7.807196313,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1987,7.596988312,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1988,7.314666137,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1989,7.529897205,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1990,7.743134309,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1991,7.751248625,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1992,7.513333545,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1993,6.813918381,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1994,6.140038687,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1995,5.993764936,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1996,6.646575598,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1997,6.966626441,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1998,7.13459586,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
1999,7.513649439,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2000,7.835233262,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2001,7.226040404,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2002,7.063196582,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2003,7.247086157,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2004,7.362260619,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
