year,value,value_unit,metric,source_name,source_url,notes
1970,2667.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1971,2942.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1972,2874.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1973,2977.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1974,2603.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1975,2767.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1976,2718.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1977,1992.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1978,2495.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1979,2656.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1980,2443.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1981,2248.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1982,2352.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1983,2439.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1984,2411.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1985,2551.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1986,2644.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1987,2690.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1988,2072.0,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1989,2685.708614,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1990,2716.192766,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1991,2554.693601,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1992,2942.795261,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1993,2444.618094,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1994,2048.175538,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1995,2250.874182,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1996,2559.257671,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1997,2677.298016,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1998,2763.369255,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
1999,2987.382967,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2000,3126.344346,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2001,2816.401739,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2002,2840.427931,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2003,2996.001081,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2004,3046.108069,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
2005,3039.742116,million pounds (USDA ERS supply/use table imports),U.S. coffee imports from USDA ERS coffee supply/use table,USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"Annual USDA ERS coffee table, Commodity=Coffee, field=Imports. Long-run official annual series in this project; units reported in ERS table as Pounds."
