year,value,value_unit,metric,source_name,source_url,proxy_flag,notes
2012,54498.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2012/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2013,56416.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2013/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2014,58002.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2014/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2015,59549.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2015/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2016,62297.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2016/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2017,65010.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2017/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2018,65865.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2018/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2019,68497.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2019/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2020,69111.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2020/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2021,72985.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2021/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2022,78856.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2022/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
2023,85140.0,establishments (count),U.S. NAICS 722515 establishments (CBP proxy for coffee storefronts),U.S. Census Bureau County Business Patterns (CBP),https://api.census.gov/data/2023/cbp,True,Proxy series: NAICS 722515 includes coffee shops and adjacent snack/nonalcoholic beverage bars; US-level ESTAB with EMPSZES=001.
